Año,Pobreza Total (%),Pobreza Extrema (%),Pobreza Urbana (%),Pobreza Rural (%),Desempleo (%),Informalidad (%),Empleo Adecuado (%),Coeficiente Gini,Ingreso Laboral Promedio (USD),Salario Básico (USD),Línea de Pobreza (USD),Ratio Ingreso/Pobreza,PIB per Cápita (USD),Crecimiento PIB (%),Período,Brecha Rural-Urbana (pp)
2007,36.7,16.5,25.0,61.5,6.1,,,0.54,,170,56.6,,3478.92488770671,1.90242859700484,2007–2014: Bonanza petrolera,36.5
2008,35.1,15.0,23.0,60.0,7.3,,,0.52,,185,60.0,,4194.75750661981,6.56492068224719,2007–2014: Bonanza petrolera,37.0
2009,36.0,14.8,24.0,59.9,8.5,,,0.5,,218,65.0,,4053.36331139298,1.0910129698311,2007–2014: Bonanza petrolera,35.9
2010,32.8,13.1,22.0,54.7,5.0,,,0.504,,240,67.5,,4520.30959039763,4.02913787986621,2007–2014: Bonanza petrolera,32.7
2011,28.6,11.6,17.4,50.9,4.2,58.8,41.2,0.473,318.0,264,72.9,4.36,5153.6916424375,8.48147656332823,2007–2014: Bonanza petrolera,33.5
2012,27.3,10.1,16.1,49.1,4.1,56.1,43.9,0.477,340.0,292,76.5,4.44,5634.08393191094,5.783212336172,2007–2014: Bonanza petrolera,33.0
2013,25.6,8.6,15.3,47.1,4.2,54.2,45.8,0.477,356.0,318,79.0,4.51,6109.29031510341,7.21123653679159,2007–2014: Bonanza petrolera,31.8
2014,22.5,7.7,14.0,43.0,3.8,53.0,47.0,0.467,379.0,340,82.4,4.6,6405.79979300441,4.22606520388456,2007–2014: Bonanza petrolera,29.0
2015,23.3,8.5,15.7,43.8,4.8,55.3,44.7,0.466,375.0,354,84.6,4.43,5976.1596805651,0.119692109287612,2015–2019: Ajuste económico,28.1
2016,22.9,8.7,15.7,43.0,5.2,55.7,41.6,0.466,368.0,366,84.0,4.38,5917.63771271481,-0.687954245877947,2015–2019: Ajuste económico,27.3
2017,21.5,8.4,15.0,40.2,4.6,53.5,42.3,0.452,375.0,375,83.6,4.49,6233.32244797718,5.97039880954841,2015–2019: Ajuste económico,25.2
2018,23.2,10.1,16.1,43.2,3.7,52.4,40.6,0.473,379.0,386,84.7,4.47,6303.91886658338,1.04429460679607,2015–2019: Ajuste económico,27.1
2019,25.0,10.5,17.2,43.8,3.8,53.0,38.8,0.473,374.0,394,85.9,4.35,6205.05765246766,0.1654044646003,2015–2019: Ajuste económico,26.6
2020,32.4,14.9,25.1,49.9,5.0,56.5,31.4,0.497,321.0,400,84.3,3.81,5463.64515348598,-9.24509619165865,2020–2021: Pandemia COVID-19,24.8
2021,27.7,11.2,19.3,44.0,4.4,54.6,35.7,0.476,350.0,400,84.7,4.13,6061.32350181711,9.42189269033631,2020–2021: Pandemia COVID-19,24.7
2022,25.2,8.2,17.8,39.4,3.8,54.3,36.8,0.459,368.0,425,87.6,4.2,6515.58528418336,5.86842354862311,2022–2024: Recuperación frágil,21.6
2023,26.0,9.8,18.0,46.4,3.5,55.5,35.3,0.462,362.0,450,89.9,4.03,6737.84748379638,1.98823813984235,2022–2024: Recuperación frágil,28.4
2024,28.0,12.7,20.9,43.3,3.4,58.0,34.1,0.48,354.6,460,91.4,3.88,6874.705739766,-2.00125476341026,2022–2024: Recuperación frágil,22.4
